,start,end,duration
146,2023-04-18 07:08:37,2023-04-18 22:12:51,0 days 15:04:14
147,2023-04-19 07:07:51,2023-04-19 22:10:27,0 days 15:02:36
148,2023-04-20 07:07:05,2023-04-20 22:08:02,0 days 15:00:57
149,2023-04-21 07:06:20,2023-04-21 22:05:37,0 days 14:59:17
150,2023-04-22 07:05:36,2023-04-22 22:03:11,0 days 14:57:35
151,2023-04-23 07:04:51,2023-04-23 22:00:45,0 days 14:55:54
152,2023-04-24 07:04:07,2023-04-24 21:58:17,0 days 14:54:10
153,2023-04-25 07:03:24,2023-04-25 21:55:50,0 days 14:52:26
154,2023-04-26 07:02:41,2023-04-26 21:53:21,0 days 14:50:40
155,2023-04-27 07:01:58,2023-04-27 21:50:52,0 days 14:48:54
156,2023-04-28 07:01:16,2023-04-28 21:48:22,0 days 14:47:06
157,2023-04-29 07:00:34,2023-04-29 21:45:52,0 days 14:45:18
158,2023-04-30 06:59:52,2023-04-30 21:43:21,0 days 14:43:29
159,2023-05-01 06:59:11,2023-05-01 21:40:49,0 days 14:41:38
160,2023-05-02 06:58:30,2023-05-02 21:38:17,0 days 14:39:47
161,2023-05-03 06:57:50,2023-05-03 21:35:44,0 days 14:37:54
162,2023-05-04 06:57:09,2023-05-04 21:33:11,0 days 14:36:02
163,2023-05-05 06:56:29,2023-05-05 21:30:36,0 days 14:34:07
164,2023-05-06 06:55:50,2023-05-06 21:28:02,0 days 14:32:12
165,2023-05-07 06:55:10,2023-05-07 21:25:26,0 days 14:30:16
166,2023-05-08 06:54:31,2023-05-08 21:22:50,0 days 14:28:19
167,2023-05-09 06:53:53,2023-05-09 21:20:13,0 days 14:26:20
168,2023-05-10 06:53:14,2023-05-10 21:17:36,0 days 14:24:22
169,2023-05-11 06:52:36,2023-05-11 21:14:58,0 days 14:22:22
170,2023-05-12 06:51:58,2023-05-12 21:12:20,0 days 14:20:22
171,2023-05-13 06:51:21,2023-05-13 21:09:40,0 days 14:18:19
172,2023-05-14 06:50:44,2023-05-14 21:07:01,0 days 14:16:17
173,2023-05-15 06:50:07,2023-05-15 21:04:20,0 days 14:14:13
174,2023-05-16 06:49:30,2023-05-16 21:01:40,0 days 14:12:10
175,2023-05-17 06:48:54,2023-05-17 20:58:58,0 days 14:10:04
176,2023-05-18 06:48:18,2023-05-18 20:56:16,0 days 14:07:58
177,2023-05-19 06:47:42,2023-05-19 20:53:33,0 days 14:05:51
178,2023-05-20 06:47:06,2023-05-20 20:50:50,0 days 14:03:44
179,2023-05-21 06:46:31,2023-05-21 20:48:06,0 days 14:01:35
180,2023-05-22 06:45:56,2023-05-22 20:45:22,0 days 13:59:26
181,2023-05-23 06:45:21,2023-05-23 20:42:37,0 days 13:57:16
182,2023-05-24 06:44:47,2023-05-24 20:39:51,0 days 13:55:04
183,2023-05-25 06:44:12,2023-05-25 20:37:05,0 days 13:52:53
184,2023-05-26 06:43:38,2023-05-26 20:34:18,0 days 13:50:40
185,2023-05-27 06:43:04,2023-05-27 20:31:31,0 days 13:48:27
186,2023-05-28 06:42:31,2023-05-28 20:28:43,0 days 13:46:12
187,2023-05-29 06:41:57,2023-05-29 20:25:55,0 days 13:43:58
188,2023-05-30 06:41:24,2023-05-30 20:23:06,0 days 13:41:42
189,2023-05-31 06:40:51,2023-05-31 20:20:17,0 days 13:39:26
190,2023-06-01 06:40:18,2023-06-01 20:17:27,0 days 13:37:09
191,2023-06-02 06:39:46,2023-06-02 20:14:36,0 days 13:34:50
192,2023-06-03 06:39:13,2023-06-03 20:11:45,0 days 13:32:32
193,2023-06-04 06:38:41,2023-06-04 20:08:53,0 days 13:30:12
194,2023-06-05 06:38:09,2023-06-05 20:06:01,0 days 13:27:52
195,2023-06-06 06:37:37,2023-06-06 20:03:08,0 days 13:25:31
196,2023-06-07 06:37:06,2023-06-07 20:00:15,0 days 13:23:09
197,2023-06-08 06:36:34,2023-06-08 19:57:21,0 days 13:20:47
198,2023-06-09 06:36:03,2023-06-09 19:54:27,0 days 13:18:24
